0.4025;-63.9927;1.0000
0.2475;-62.5787;1.0000
0.8858;-61.3858;1.0000
0.3646;-62.0632;1.0000
0.7486;-63.9542;1.0000
0.3547;-63.1726;1.0000
1.0935;-62.0380;1.0000
1.3795;-65.5815;1.0000
1.3961;-65.5815;1.0000
1.3809;-65.5815;1.0000
1.3669;-65.5815;1.0000
1.3640;-65.5815;1.0000
1.4178;-65.5815;1.0000
1.9543;-64.3128;1.0000
1.9863;-64.3128;1.0000
2.2773;-64.3128;1.0000
1.9965;-64.3128;1.0000
1.8453;-64.3128;1.0000
0.4968;-62.5603;1.0000
0.9584;-62.5603;1.0000
0.3114;-62.5603;1.0000
